SYMBOL,EXPIRY,OPTIONTYPE,STRIKEPRICE,TRADEDATE,OPENPR,HIGHPR,LOWPR,CLOSEPR,SETTLEPR,CONTRACTS,VLAKH,OI,CHGOI
BANKNIFTY,2018-01-25,XX,0,2018-01-01,25622,25570,25411.8,25447.05,25447.05,37169,379308.71,1311320,61760
BANKNIFTY,2018-02-22,XX,0,2018-01-01,25675.7,25634,25481.3,25512.45,25512.45,393,4017.69,31240,-960
BANKNIFTY,2018-03-28,XX,0,2018-01-01,25724.2,25724.2,25525.85,25559.45,25559.45,49,502.36,1080,600
FTSE100,2018-01-19,XX,0,2018-01-01,0,0,0,7652,7712,0,0,0,0
FTSE100,2018-02-16,XX,0,2018-01-01,0,0,0,7503,7751,0,0,0,0
FTSE100,2018-03-16,XX,0,2018-01-01,0,0,0,7912,7790,0,0,0,0
FTSE100,2018-06-15,XX,0,2018-01-01,0,0,0,7982,7916,0,0,0,0
FTSE100,2018-09-21,XX,0,2018-01-01,0,0,0,7867,8055,0,0,0,0
FTSE100,2018-12-21,XX,0,2018-01-01,0,0,0,7947,8185,0,0,0,0
NIFTY,2018-01-25,XX,0,2018-01-01,10556.5,10540,10483.35,10498.7,10498.7,102018,804758.5,22565175,-699975
NIFTY,2018-02-22,XX,0,2018-01-01,10576.65,10568.45,10507,10521.2,10521.2,3024,23927.8,657075,6900
NIFTY,2018-03-28,XX,0,2018-01-01,10603.15,10588.5,10535.15,10548.7,10548.7,380,3013.79,29850,1575
NIFTYCPSE,2018-01-25,XX,0,2018-01-01,0,0,0,2752.3,2693.8,0,0,0,0
NIFTYCPSE,2018-02-22,XX,0,2018-01-01,0,0,0,2661.05,2707.45,0,0,0,0
NIFTYCPSE,2018-03-28,XX,0,2018-01-01,0,0,0,2729.2,2723.8,0,0,0,0
NIFTYINFRA,2018-01-25,XX,0,2018-01-01,0,0,0,3636.75,3651.8,0,0,0,0
NIFTYINFRA,2018-02-22,XX,0,2018-01-01,0,0,0,3569.3,3670.3,0,0,0,0
NIFTYINFRA,2018-03-28,XX,0,2018-01-01,0,0,0,3662.6,3692.45,0,0,0,0
NIFTYIT,2018-01-25,XX,0,2018-01-01,11671,11671,11541,11557,11557,104,601.75,31900,-2000
NIFTYIT,2018-02-22,XX,0,2018-01-01,0,0,0,11280,11673,0,0,0,0
NIFTYIT,2018-03-28,XX,0,2018-01-01,0,0,0,11682,11744,0,0,0,0
NIFTYMID50,2018-01-25,XX,0,2018-01-01,0,0,0,5788.15,5555.5,0,0,514000,0
NIFTYMID50,2018-02-22,XX,0,2018-01-01,0,0,0,5289.3,5583.65,0,0,0,0
NIFTYMID50,2018-03-28,XX,0,2018-01-01,0,0,0,5588,5617.35,0,0,0,0
NIFTYPSE,2018-01-25,XX,0,2018-01-01,0,0,0,4478.55,4313.95,0,0,0,0
NIFTYPSE,2018-02-22,XX,0,2018-01-01,0,0,0,4297,4335.8,0,0,0,0
